GreekToken,ExchangeToken,ExchangeSegMent,Series/InstType,Symbol,Description,ExpiryDate,OptionType,StrikePrice,TickSize,LotSize,TradingSymbol,SymbolWithExpiry
101000003,3,NSEEQ,ST,GOLDSTAR,GOLDSTAR POWER LIMITED,,XX,0.00,0.05,11250,GOLDSTAR,GOLDSTAR
101000004,4,NSEEQ,EQ,21STCENMGM,21ST CENTURY MGMT SERVICE,,XX,0.00,0.01,1,21STCENMGM,21STCENMGM
101000007,7,NSEEQ,EQ,AARTIIND,AARTI INDUSTRIES LTD,,XX,0.00,0.05,1,AARTIIND,AARTIIND
101000013,13,NSEEQ,EQ,ABB,ABB INDIA LIMITED,,XX,0.00,0.50,1,ABB,ABB
101000014,14,NSEEQ,SG,656KA30,SDL KA 6.56% 2030,,XX,0.00,0.01,100,656KA30,656KA30
101000017,17,NSEEQ,EQ,GATECHDVR,GACM TECHNOLOGIES LIMITED,,XX,0.00,0.01,1,GATECHDVR,GATECHDVR
101000018,18,NSEEQ,SG,66RJ30,SDL RJ 6.6% 2030,,XX,0.00,0.01,100,66RJ30,66RJ30
101000019,19,NSEEQ,EQ,STYRENIX,STYRENIX PERFORMANCE LTD,,XX,0.00,0.10,1,STYRENIX,STYRENIX
101000020,20,NSEEQ,SG,66GA30A,SDL GA 6.6% 2030,,XX,0.00,0.01,100,66GA30A,66GA30A
101000021,21,NSEEQ,SG,664UP30,SDL UP 6.64% 2030,,XX,0.00,0.01,100,664UP30,664UP30
101000022,22,NSEEQ,EQ,ACC,ACC LIMITED,,XX,0.00,0.10,1,ACC,ACC
101000023,23,NSEEQ,SG,67JK30,SDL JK 6.7% 2030,,XX,0.00,0.01,100,67JK30,67JK30
101000024,24,NSEEQ,BL,GATECHDVR,GACM TECHNOLOGIES LIMITED,,XX,0.00,0.01,999999999,GATECHDVR,GATECHDVR
101000025,25,NSEEQ,EQ,ADANIENT,ADANI ENTERPRISES LIMITED,,XX,0.00,0.10,1,ADANIENT,ADANIENT
101000026,26,NSEEQ,SG,67HR30,SDL HR 6.7% 2030,,XX,0.00,0.01,100,67HR30,67HR30
101000029,29,NSEEQ,SG,667MH31,SDL MH 6.67% 2031,,XX,0.00,0.01,100,667MH31,667MH31
101000032,32,NSEEQ,SG,679MP33,SDL MP 6.79% 2033,,XX,0.00,0.01,100,679MP33,679MP33
101000034,34,NSEEQ,EQ,ADOR,ADOR WELDING LTD,,XX,0.00,0.10,1,ADOR,ADOR
101000035,35,NSEEQ,SG,677KA34,SDL KA 6.77% 2034,,XX,0.00,0.01,100,677KA34,677KA34
101000038,38,NSEEQ,SG,685AP36,SDL AP 6.85% 2036,,XX,0.00,0.01,100,685AP36,685AP36
101000040,40,NSEEQ,EQ,AEGISLOG,AEGIS LOGISTICS LIMITED,,XX,0.00,0.05,1,AEGISLOG,AEGISLOG
101000041,41,NSEEQ,SG,687AP38,SDL AP 6.87% 2038,,XX,0.00,0.01,100,687AP38,687AP38
101000042,42,NSEEQ,SG,677WB40,SDL WB 6.77% 2040,,XX,0.00,0.01,100,677WB40,677WB40
101000046,46,NSEEQ,BZ,SANWARIA,SANWARIA CONSUMER LIMITED,,XX,0.00,0.01,1,SANWARIA,SANWARIA
101000048,48,NSEEQ,EQ,HAPPSTMNDS,HAPPIEST MINDS TECHNO LTD,,XX,0.00,0.05,1,HAPPSTMNDS,HAPPSTMNDS
101000057,57,NSEEQ,BL,HAPPSTMNDS,HAPPIEST MINDS TECHNO LTD,,XX,0.00,0.05,999999999,HAPPSTMNDS,HAPPSTMNDS
101000065,65,NSEEQ,SG,663GJ29,SDL GJ 6.63% 2029,,XX,0.00,0.01,100,663GJ29,663GJ29
101000068,68,NSEEQ,SG,684TS40,SDL TS 6.84% 2040,,XX,0.00,0.01,100,684TS40,684TS40
101000072,72,NSEEQ,SG,665KA30,SDL KA 6.65% 2030,,XX,0.00,0.01,100,665KA30,665KA30
101000074,74,NSEEQ,SG,675KA33,SDL KA 6.75% 2033,,XX,0.00,0.01,100,675KA33,675KA33
101000076,76,NSEEQ,SG,667UK30,SDL UK 6.67% 2030,,XX,0.00,0.01,100,667UK30,667UK30
101000079,79,NSEEQ,EQ,ALEMBICLTD,ALEMBIC LIMITED,,XX,0.00,0.01,1,ALEMBICLTD,ALEMBICLTD
101000083,83,NSEEQ,SG,67ML30,SDL ML 6.7% 2030,,XX,0.00,0.01,100,67ML30,67ML30
101000086,86,NSEEQ,SG,67NL30,SDL NL 6.7% 2030,,XX,0.00,0.01,100,67NL30,67NL30
